,Date,Site,Total_Bees,Number_Traps,Average_BareGround,Number_Quadrats,Sampling_Day,Sample
1,5/12/2016,Sheller,0,3,12,10,1,1
2,5/22/2016,Sheller,39,3,3.3,10,2,2
3,6/21/2016,Sheller,36,3,2.3,10,3,3
4,7/26/2016,Sheller,55,3,1.6,10,4,4
5,8/18/2016,Sheller,54,3,2.4,10,5,5
6,5/12/2016,Sloan,4,3,33,10,1,6
7,5/22/2016,Sloan,123,3,2.1,10,2,7
8,6/17/2016,Sloan,30,3,0,10,3,8
9,7/25/2016,Sloan,119,3,3.5,10,4,9
10,8/17/2016,Sloan,20,3,3.8,10,5,10
11,5/15/2016,Cretsinger,55,3,15.5,10,1,11
12,5/29/2016,Cretsinger,185,3,19.1,10,2,12
13,6/22/2016,Cretsinger,46,3,10.8,10,3,13
14,7/27/2016,Cretsinger,34,3,17.3,10,4,14
15,8/22/2016,Cretsinger,31,3,6.3,10,5,15
16,5/15/2016,Peckumn,63,3,10,10,1,16
17,5/29/2016,Peckumn,132,3,5.5,10,2,17
18,6/23/2016,Peckumn,68,3,6.9,10,3,18
19,7/27/2016,Peckumn,102,3,8,10,4,19
20,8/31/2016,Peckumn,41,3,2.1,10,5,20
21,5/18/2016,Bowman,17,3,0,10,1,21
22,5/3/2016,Bowman,4,3,2,10,2,22
23,6/15/2016,Bowman,40,3,0,10,3,23
24,7/20/2016,Bowman,12,3,0,10,4,24
25,8/15/2016,Bowman,4,3,0,10,5,25
26,5/18/2016,Plunkett,38,3,3.1,10,1,26
27,5/3/2016,Plunkett,11,3,3,10,2,27
28,6/15/2016,Plunkett,42,3,0.3,10,3,28
29,7/20/2016,Plunkett,265,3,3.8,10,4,29
30,8/14/2016,Plunkett,434,3,2.3,10,5,30
31,5/19/2016,Kaldenberg,71,3,4.2,10,1,31
32,5/4/2016,Kaldenberg,5,3,3.1,10,2,32
33,6/16/2016,Kaldenberg,34,3,4.8,10,3,33
34,7/21/2016,Kaldenberg,166,3,5.6,10,4,34
35,8/16/2016,Kaldenberg,29,3,4,10,5,35
36,5/19/2016,McClellan,69,3,3.3,10,1,36
37,5/4/2016,McClellan,0,3,0,10,2,37
38,6/16/2016,McClellan,49,3,2.1,10,3,38
39,7/22/2016,McClellan,65,3,1.4,10,4,39
40,8/16/2016,McClellan,22,3,1.6,10,5,40
