,Date,Site,Total_Bees,Number_Traps,Average_BareGround,Number_Quadrats,Sampling_Day,Sample
1,5/21/2014,Bowman,16,3,0,10,2,1
2,6/20/2014,Bowman,80,3,0,10,3,2
3,7/17/2014,Bowman,8,3,0,10,4,3
4,8/14/2014,Bowman,17,3,0,10,5,4
5,4/28/2015,Bowman,2,3,0,10,1,5
6,5/21/2015,Bowman,2,3,0,10,2,6
7,6/16/2015,Bowman,19,3,0,10,3,7
8,7/17/2015,Bowman,9,3,0,10,4,8
9,8/13/2015,Bowman,6,3,0,10,5,9
10,5/18/2016,Bowman,17,3,0,10,1,10
11,5/3/2016,Bowman,4,3,2,10,2,11
12,6/15/2016,Bowman,40,3,0,10,3,12
13,7/20/2016,Bowman,12,3,0,10,4,13
14,8/15/2016,Bowman,4,3,0,10,5,14
15,5/29/2014,Cretsinger,127,3,0,10,2,15
16,6/25/2014,Cretsinger,100,3,0,10,3,16
17,7/23/2014,Cretsinger,42,3,0,10,4,17
18,8/19/2014,Cretsinger,49,3,0,10,5,18
19,5/3/2015,Cretsinger,117,3,39.5,10,1,19
20,5/31/2015,Cretsinger,60,3,24.5,10,2,20
21,6/29/2015,Cretsinger,18,3,13.5,10,3,21
22,7/29/2015,Cretsinger,21,3,8.5,10,4,22
23,8/20/2015,Cretsinger,18,3,9,10,5,23
24,5/15/2016,Cretsinger,55,3,15.5,10,1,24
25,5/29/2016,Cretsinger,185,3,19.1,10,2,25
26,6/22/2016,Cretsinger,46,3,10.8,10,3,26
27,7/27/2016,Cretsinger,34,3,17.3,10,4,27
28,8/22/2016,Cretsinger,31,3,6.3,10,5,28
29,5/30/2014,Elkader,63,3,43.8,10,2,29
30,6/24/2014,Elkader,60,3,38.5,10,3,30
31,7/24/2014,Elkader,53,3,26.1,10,4,31
32,8/20/2014,Elkader,70,3,31.5,10,5,32
33,5/2/2015,Elkader,23,3,19.8,10,1,33
34,5/27/2015,Elkader,80,3,24.5,10,2,34
35,6/21/2015,Elkader,103,3,19,10,3,35
36,7/23/2015,Elkader,63,3,37,10,4,36
37,8/15/2015,Elkader,98,3,21,10,5,37
38,6/11/2014,Greving,119,3,27.3,10,2,38
39,7/3/2014,Greving,170,3,24.3,10,3,39
40,7/30/2014,Greving,131,3,18.5,10,4,40
41,8/30/2014,Greving,112,3,14.9,10,5,41
42,5/23/2014,Kaldenberg,182,3,0,10,2,42
43,6/20/2014,Kaldenberg,67,3,0,10,3,43
44,7/18/2014,Kaldenberg,88,3,0,10,4,44
45,8/17/2014,Kaldenberg,66,3,0,10,5,45
46,4/29/2015,Kaldenberg,11,3,12,10,1,46
47,5/27/2015,Kaldenberg,64,3,34.3,10,2,47
48,6/19/2015,Kaldenberg,31,3,21.5,10,3,48
49,7/21/2015,Kaldenberg,29,3,24,10,4,49
50,8/14/2015,Kaldenberg,28,3,9,10,5,50
51,5/19/2016,Kaldenberg,71,3,4.2,10,1,51
52,5/4/2016,Kaldenberg,5,3,3.1,10,2,52
53,6/16/2016,Kaldenberg,34,3,4.8,10,3,53
54,7/21/2016,Kaldenberg,166,3,5.6,10,4,54
55,8/16/2016,Kaldenberg,29,3,4,10,5,55
56,6/6/2014,McClellan,67,3,0,10,2,56
57,7/1/2014,McClellan,41,3,0,10,3,57
58,7/28/2014,McClellan,18,3,0,10,4,58
59,8/31/2014,McClellan,34,3,0,10,5,59
60,5/12/2015,McClellan,2,3,0,10,1,60
61,6/1/2015,McClellan,48,3,0,10,2,61
62,6/30/2015,McClellan,32,3,2,10,3,62
63,7/30/2015,McClellan,78,3,0.5,10,4,63
64,8/25/2015,McClellan,32,3,0,10,5,64
65,5/19/2016,McClellan,69,3,3.3,10,1,65
66,5/4/2016,McClellan,0,3,0,10,2,66
67,6/16/2016,McClellan,49,3,2.1,10,3,67
68,7/22/2016,McClellan,65,3,1.4,10,4,68
69,8/16/2016,McClellan,22,3,1.6,10,5,69
70,5/23/2014,NealSmith,120,3,37,10,2,70
71,6/9/2014,NealSmith,175,3,20,10,2,71
72,6/20/2014,NealSmith,128,3,26.7,10,3,72
73,7/18/2014,NealSmith,78,3,7.1,10,4,73
74,8/17/2014,NealSmith,105,3,9.6,10,5,74
75,4/29/2015,NealSmith,136,3,23,10,1,75
76,5/27/2015,NealSmith,47,3,10.4,10,2,76
77,6/16/2015,NealSmith,48,3,11.5,10,3,77
78,7/21/2015,NealSmith,56,3,9.5,10,4,78
79,8/14/2015,NealSmith,85,3,8,10,5,79
80,5/12/2015,Peckumn,44,3,23.3,10,1,80
81,6/1/2015,Peckumn,60,3,21.5,10,2,81
82,7/7/2015,Peckumn,25,3,15,10,3,82
83,7/31/2015,Peckumn,65,3,15,10,4,83
84,9/1/2015,Peckumn,17,3,13,10,5,84
85,5/15/2016,Peckumn,63,3,10,10,1,85
86,5/29/2016,Peckumn,132,3,5.5,10,2,86
87,6/23/2016,Peckumn,68,3,6.9,10,3,87
88,7/27/2016,Peckumn,102,3,8,10,4,88
89,8/31/2016,Peckumn,41,3,2.1,10,5,89
90,5/20/2014,Plunkett,74,3,,10,2,90
91,7/16/2014,Plunkett,61,3,19.3,10,3,91
92,7/16/2014,Plunkett,26,3,20.6,10,4,92
93,8/14/2014,Plunkett,54,3,10.4,10,5,93
94,4/30/2015,Plunkett,5,3,0.9,10,1,94
95,5/21/2015,Plunkett,22,3,0.6,10,2,95
96,6/16/2015,Plunkett,68,3,2,10,3,96
97,7/17/2015,Plunkett,33,3,0,10,4,97
98,8/13/2015,Plunkett,64,3,0,10,5,98
99,5/18/2016,Plunkett,38,3,3.1,10,1,99
100,5/3/2016,Plunkett,11,3,3,10,2,100
101,6/15/2016,Plunkett,42,3,0.3,10,3,101
102,7/20/2016,Plunkett,265,3,3.8,10,4,102
103,8/14/2016,Plunkett,434,3,2.3,10,5,103
104,5/29/2014,Sheller,114,3,0,10,2,104
105,6/25/2014,Sheller,16,3,0,10,3,105
106,7/21/2014,Sheller,21,3,0,10,4,106
107,8/24/2014,Sheller,49,3,0,10,5,107
108,5/9/2015,Sheller,22,3,0.6,10,1,108
109,5/31/2015,Sheller,24,3,0,10,2,109
110,6/23/2015,Sheller,20,3,0,10,3,110
111,7/30/2015,Sheller,37,3,0.5,10,4,111
112,8/26/2015,Sheller,16,3,0,10,5,112
113,5/12/2016,Sheller,0,3,12,10,1,113
114,5/22/2016,Sheller,39,3,3.3,10,2,114
115,6/21/2016,Sheller,36,3,2.3,10,3,115
116,7/26/2016,Sheller,55,3,1.6,10,4,116
117,8/18/2016,Sheller,54,3,2.4,10,5,117
118,5/30/2014,Sloan,50,3,0,10,2,118
119,6/24/2014,Sloan,33,3,0,10,3,119
120,7/24/2014,Sloan,34,3,0,10,4,120
121,8/20/2014,Sloan,27,3,0,10,5,121
122,5/2/2015,Sloan,15,3,3.1,10,1,122
123,5/27/2015,Sloan,141,3,1.6,10,2,123
124,6/21/2015,Sloan,18,3,1.5,10,3,124
125,7/23/2015,Sloan,29,3,2,10,4,125
126,8/15/2015,Sloan,38,3,1,10,5,126
127,5/12/2016,Sloan,4,3,33,10,1,127
128,5/22/2016,Sloan,123,3,2.1,10,2,128
129,6/17/2016,Sloan,30,3,0,10,3,129
130,7/25/2016,Sloan,119,3,3.5,10,4,130
131,8/17/2016,Sloan,20,3,3.8,10,5,131
